"task","user","slide","x","y","bb","type","timestamp"
"task1","samindi123","s1","552.3337214790834","240.11441087640716","hat","L","1651595881141"
"task1","samindi123","s1","602.8218651814752","224.53558358763587","hat","L","1651595881185"
"task1","samindi123","s1","635.7681266314924","230.01765448687163","hat","L","1651595881230"
"task1","samindi123","s1","669.0839167071588","272.6322494929494","hat","L","1651595881275"
"task1","samindi123","s1","644.406418802328","312.0122463408712","hat","L","1651595881337"
"task1","samindi123","s1","646.7544541826804","351.4643371953332","hat","L","1651595881417"
"task1","samindi123","s1","641.9066631233353","361.7894196700335","hat","L","1651595881476"
"task1","samindi123","s1","655.9941593349837","322.7142921505761","hat","L","1651595881542"
"task1","samindi123","s1","645.931564320059","334.31341685431255","hat","L","1651595881587"
"task1","samindi123","s1","635.484246167432","334.3537344888545","hat","L","1651595881663"
"task1","samindi123","s1","607.6155795062136","339.87395645297596","hat","L","1651595881707"
"task1","samindi123","s1","559.8619614515577","356.937515114705","hat","L","1651595881770"
"task1","samindi123","s1","566.8241442679223","328.30295050156167","hat","L","1651595881840"
"task1","samindi123","s1","536.7240552695367","363.46382786739554","hat","L","1651595881906"
"task1","samindi123","s1","524.5153071314097","361.5793149700616","hat","L","1651595881970"
"task1","samindi123","s1","573.1405746645333","399.0755583954232","hat","L","1651595882042"
"task1","samindi123","s1","644.6802147611486","367.32523199703","hat","L","1651595882104"
"task1","samindi123","s1","631.2792894010919","405.7133448802657","hat","L","1651595882181"
"task1","samindi123","s1","664.7988059952262","543.9489072375549","hat","L","1651595882251"
"task1","samindi123","s1","678.6304172707521","677.4849479523047","none","none","1651595882307"
"task1","samindi123","s1","841.1731539020113","709.5667202859645","none","none","1651595882355"
"task1","samindi123","s1","829.5885994443961","659.1218980118159","none","none","1651595882419"
"task1","samindi123","s1","691.4767520045328","556.5285210889574","hat","L","1651595882501"
"task1","samindi123","s1","691.2757800474334","492.83702589558004","hat","L","1651595882546"
"task1","samindi123","s1","675.7778103059312","406.8528337608711","hat","L","1651595882605"
"task1","samindi123","s1","745.4493986583452","386.1089288249456","hat","L","1651595882669"
